Year,Lynx,Hare,Year2,Otter
1846,21180,,1763,8060
1847,31062,,1764,7000
1848,47065,,1765,6126
1849,43253,15621,1766,10669
1850,20604,26781,1767,12383
1851,9303,54827,1768,7773
1852,6722,82430,1769,11753
1853,4850,82814,1770,12000
1854,4907,91316,1771,12876
1855,10764,70685,1772,12410
1856,21511,84489,1773,14176
1857,32264,95534,1774,14737
1858,33038,62543,1775,14668
1859,27460,29590,1776,11953
1860,15968,15409,1777,19250
1861,7927,18516,1778,14600
1862,4616,39258,1779,13600
1863,4570,80257,1780,16000
1864,4760,80257,1781,13000
1865,17044,144519,1782,15100
1866,34732,106279,1783,19700
1867,68097,45909,1784,21900
1868,70372,22668,1785,19600
1869,39119,631,1786,22700
1870,19992,3070,1787,32800
1871,8806,9932,1788,19300
1872,5679,33477,1789,21303
1873,4839,33477,1790,21000
1874,10045,49053,1791,22500
1875,17849,50934,1792,21000
1876,18868,104123,1793,21600
1877,43575,87722,1794,47200
1878,37490,65585,1795,18500
1879,21291,17593,1796,16700
1880,14767,10950,1797,9500
1881,10053,17830,1798,14500
1882,7581,13595,1799,16000
1883,8016,29095,1800,18000
1884,27119,29095,1801,21000
1885,51414,53522,1802,19000
1886,73878,136726,1803,17000
1887,78555,137685,1804,20000
1888,33720,94150,1805,15000
1889,18726,36386,1806,12000
1890,11445,22000,1807,8400
1891,6000,50000,1808,7000
1892,5000,55000,1809,6200
1893,10000,65000,1810,3500
1894,20000,60000,1811,2200
1895,35000,80000,1812,7800
1896,54000,96000,1813,7500
1897,38000,55000,1814,7000
1898,26000,18000,1815,5600
1899,15000,5000,1816,9500
1900,6000,1000,1817,7200
1901,9000,15000,1818,9600
1902,11000,100,1819,10000
1903,24000,5000,1820,6000
1904,35000,45000,1821,8500
,,,1822,9471
,,,1823,3096
,,,1824,1740
,,,1825,2600
,,,1826,3899
,,,1827,2524
,,,1828,1440
,,,1829,4148
,,,1830,7510
,,,1831,3624
,,,1832,4160
,,,1833,5645
,,,1834,3920
,,,1835,2922
,,,1836,2840
,,,1837,10848
,,,1838,9283
,,,1839,1380
,,,1840,7359
,,,1841,8720
,,,1842,7136
,,,1843,7550
,,,1844,6240
,,,1845,7028
,,,1846,9993
,,,1847,5269
,,,1848,4477
,,,1849,5426
,,,1850,3031
,,,1851,3815
,,,1852,4604
,,,1853,3208
,,,1854,5166
,,,1855,6263
,,,1856,5592
,,,1857,4787
,,,1858,6150
,,,1859,9184
,,,1860,12671
,,,1861,8586
,,,1862,8202
,,,1863,7359
,,,1864,6566
,,,1865,5781
,,,1866,2427
,,,1867,4707
,,,1868,4502
,,,1869,6548
,,,1870,7169
,,,1871,5012
,,,1872,5759
,,,1873,8037
,,,1874,5727
,,,1875,8248
,,,1876,6689
,,,1877,7074
,,,1878,6039
,,,1879,12102
,,,1880,7749
,,,1881,9019
,,,1882,10940
,,,1883,6704
,,,1884,8144
,,,1885,7139
,,,1886,10062
,,,1887,6349
,,,1888,4292
,,,1889,8272
,,,1890,8595
,,,1891,7334
